M.NAME,M.SCORE,A.QYT,M.URL
杨晨晨sugar,7031,486,https://www.meitu131.com/nvshen/9
周妍希,5748,110,https://www.meitu131.com/nvshen/8
尤妮丝,5525,26,https://www.meitu131.com/nvshen/76
王雨纯,3446,133,https://www.meitu131.com/nvshen/10
米妮大萌萌,3366,77,https://www.meitu131.com/nvshen/4
李妍曦,2377,42,https://www.meitu131.com/nvshen/51
王馨瑶,2170,175,https://www.meitu131.com/nvshen/66
陆萱萱,2165,120,https://www.meitu131.com/nvshen/260
唐安琪,2142,92,https://www.meitu131.com/nvshen/301
芝芝Booty,1725,294,https://www.meitu131.com/nvshen/165
周于希dummy,1695,144,https://www.meitu131.com/nvshen/159
安然Maleah,1611,83,https://www.meitu131.com/nvshen/281
鱼子酱fish,1564,57,https://www.meitu131.com/nvshen/297
软软Roro,1547,27,https://www.meitu131.com/nvshen/324
就是阿朱啊,1417,28,https://www.meitu131.com/nvshen/230
刘飞儿Faye,1278,32,https://www.meitu131.com/nvshen/2
卓娅祺,1236,50,https://www.meitu131.com/nvshen/79
梦心玥,1214,109,https://www.meitu131.com/nvshen/147
林星阑,1175,42,https://www.meitu131.com/nvshen/429
周慕汐,1167,51,https://www.meitu131.com/nvshen/262
绯月樱Cherry,1163,142,https://www.meitu131.com/nvshen/100
小热巴,1088,139,https://www.meitu131.com/nvshen/92
陈小喵,1019,59,https://www.meitu131.com/nvshen/279
易阳Silvia,1007,39,https://www.meitu131.com/nvshen/60
闫盼盼,971,6,https://www.meitu131.com/nvshen/164
徐微微,949,34,https://www.meitu131.com/nvshen/347
Flower朱可儿,936,17,https://www.meitu131.com/nvshen/425
夏小秋,847,29,https://www.meitu131.com/nvshen/3
抖娘利世,730,37,https://www.meitu131.com/nvshen/495
程开心,725,32,https://www.meitu131.com/nvshen/287
杉原杏璃,721,0,https://www.meitu131.com/nvshen/25
Jordan Carver,694,0,https://www.meitu131.com/nvshen/42
玥儿玥,667,46,https://www.meitu131.com/nvshen/274
玛鲁娜,665,43,https://www.meitu131.com/nvshen/48
林子欣,636,42,https://www.meitu131.com/nvshen/277
小夕juju,625,16,https://www.meitu131.com/nvshen/412
夏诗诗Sallly,617,12,https://www.meitu131.com/nvshen/240
松果儿,615,21,https://www.meitu131.com/nvshen/129
段筱慧,608,73,https://www.meitu131.com/nvshen/154
豆瓣酱,577,19,https://www.meitu131.com/nvshen/307
林文文,562,20,https://www.meitu131.com/nvshen/310
绮里嘉,547,134,https://www.meitu131.com/nvshen/302
奶油妹妹,544,6,https://www.meitu131.com/nvshen/386
妲己_Toxic,526,6,https://www.meitu131.com/nvshen/416
周大萌,524,41,https://www.meitu131.com/nvshen/321
美七Mia,515,23,https://www.meitu131.com/nvshen/298
夏美酱_,504,45,https://www.meitu131.com/nvshen/6
熊小诺,484,20,https://www.meitu131.com/nvshen/410
张思允Nice,477,14,https://www.meitu131.com/nvshen/555
SOLO-尹菲,475,66,https://www.meitu131.com/nvshen/128
郑颖姗,474,33,https://www.meitu131.com/nvshen/335
赵小米Kitty,473,32,https://www.meitu131.com/nvshen/1
妮小妖,438,67,https://www.meitu131.com/nvshen/67
yoo优优,427,29,https://www.meitu131.com/nvshen/290
杨紫嫣,424,33,https://www.meitu131.com/nvshen/292
娜露Selena,418,13,https://www.meitu131.com/nvshen/137
美桃酱,417,24,https://www.meitu131.com/nvshen/473
Marissa Everhart,414,0,https://www.meitu131.com/nvshen/46
天木纯,410,0,https://www.meitu131.com/nvshen/23
伊小七,403,9,https://www.meitu131.com/nvshen/256
可乐Vicky,401,36,https://www.meitu131.com/nvshen/99
柳侑绮sevenbaby,388,26,https://www.meitu131.com/nvshen/346
冯木木LRIS,383,68,https://www.meitu131.com/nvshen/173
葛征Model,378,19,https://www.meitu131.com/nvshen/189
言沫,366,47,https://www.meitu131.com/nvshen/295
李雅柔,364,13,https://www.meitu131.com/nvshen/409
允爾,354,24,https://www.meitu131.com/nvshen/318
韩静安,340,16,https://www.meitu131.com/nvshen/288
蓝夏Akasha,331,38,https://www.meitu131.com/nvshen/236
苍井空,319,0,https://www.meitu131.com/nvshen/13
九月生,298,47,https://www.meitu131.com/nvshen/235
陈小诺,296,13,https://www.meitu131.com/nvshen/463
小狐狸Kathryn,282,50,https://www.meitu131.com/nvshen/337
姜仁卿,281,7,https://www.meitu131.com/nvshen/461
南初妹妹,269,5,https://www.meitu131.com/nvshen/299
恩一,261,9,https://www.meitu131.com/nvshen/214
付艺轩,257,22,https://www.meitu131.com/nvshen/94
孙允珠,257,6,https://www.meitu131.com/nvshen/7
小尤奈,256,30,https://www.meitu131.com/nvshen/139
艾静香,253,22,https://www.meitu131.com/nvshen/437
Vanessa,250,26,https://www.meitu131.com/nvshen/305
刘钰儿,248,24,https://www.meitu131.com/nvshen/80
Abby李雅,248,19,https://www.meitu131.com/nvshen/83
田冰冰,246,34,https://www.meitu131.com/nvshen/289
沈梦瑶,244,28,https://www.meitu131.com/nvshen/141
大美媚京,236,7,https://www.meitu131.com/nvshen/566
徐安安,235,29,https://www.meitu131.com/nvshen/259
Lavinia肉,226,65,https://www.meitu131.com/nvshen/167
bunny七七,224,3,https://www.meitu131.com/nvshen/519
佘贝拉,224,28,https://www.meitu131.com/nvshen/336
小果冻儿jelly,222,8,https://www.meitu131.com/nvshen/418
若兮Baby,222,15,https://www.meitu131.com/nvshen/195
诗诗kiki,221,35,https://www.meitu131.com/nvshen/217
UU酱,220,5,https://www.meitu131.com/nvshen/361
费若拉,217,6,https://www.meitu131.com/nvshen/392
Samantha奶油,216,5,https://www.meitu131.com/nvshen/466
筱崎爱,215,0,https://www.meitu131.com/nvshen/24
乔漫妮,215,11,https://www.meitu131.com/nvshen/390
李丽莎,214,7,https://www.meitu131.com/nvshen/228
于姬Una,214,36,https://www.meitu131.com/nvshen/91
雪千寻,214,19,https://www.meitu131.com/nvshen/78
唐琪儿,212,21,https://www.meitu131.com/nvshen/285
顾欣怡,211,17,https://www.meitu131.com/nvshen/125
韩心雨,210,3,https://www.meitu131.com/nvshen/568
小娜比,210,24,https://www.meitu131.com/nvshen/314
白一晗Queen,198,13,https://www.meitu131.com/nvshen/369
逗逗DouDou,195,9,https://www.meitu131.com/nvshen/513
王俪丁,191,0,https://www.meitu131.com/nvshen/356
白露小猪,190,9,https://www.meitu131.com/nvshen/459
Miko酱,187,13,https://www.meitu131.com/nvshen/96
林静瑶,183,4,https://www.meitu131.com/nvshen/460
艾小青,181,26,https://www.meitu131.com/nvshen/142
夏沫沫,179,21,https://www.meitu131.com/nvshen/542
许诺Sabrina,177,58,https://www.meitu131.com/nvshen/58
西门小玉,175,12,https://www.meitu131.com/nvshen/440
白亦Ada,172,4,https://www.meitu131.com/nvshen/532
一颗甜蛋黄a,172,5,https://www.meitu131.com/nvshen/469
夏西CiCi,171,5,https://www.meitu131.com/nvshen/325
何嘉颖,171,25,https://www.meitu131.com/nvshen/143
吴雪瑶,171,11,https://www.meitu131.com/nvshen/443
桃香子,170,6,https://www.meitu131.com/nvshen/464
十九九,166,1,https://www.meitu131.com/nvshen/571
李梓熙,165,17,https://www.meitu131.com/nvshen/196
陈良玲Carry,165,37,https://www.meitu131.com/nvshen/68
夏茉GiGi,164,20,https://www.meitu131.com/nvshen/163
尹甜甜,163,15,https://www.meitu131.com/nvshen/389
小蛮妖,161,44,https://www.meitu131.com/nvshen/313
奶茶Emily,158,1,https://www.meitu131.com/nvshen/552
LindaLinda,158,16,https://www.meitu131.com/nvshen/355
久久Aimee,158,18,https://www.meitu131.com/nvshen/358
陈思琪,156,17,https://www.meitu131.com/nvshen/59
赵娜娜,155,2,https://www.meitu131.com/nvshen/529
玉兔miki,154,16,https://www.meitu131.com/nvshen/224
李纤纤,153,8,https://www.meitu131.com/nvshen/511
王婉悠,153,12,https://www.meitu131.com/nvshen/88
Yumi尤美,152,31,https://www.meitu131.com/nvshen/82
珊珊,152,9,https://www.meitu131.com/nvshen/239
小肥莹,150,2,https://www.meitu131.com/nvshen/573
顾桥楠,149,22,https://www.meitu131.com/nvshen/276
瑞莎Trista,149,6,https://www.meitu131.com/nvshen/371
徐cake,149,27,https://www.meitu131.com/nvshen/49
霓可爱,146,1,https://www.meitu131.com/nvshen/554
潘娇娇,145,8,https://www.meitu131.com/nvshen/348
萌尤星凯竹,145,39,https://www.meitu131.com/nvshen/237
苏雨彤,142,10,https://www.meitu131.com/nvshen/329
古月,140,1,https://www.meitu131.com/nvshen/567
陈幼依,140,1,https://www.meitu131.com/nvshen/561
琳琳ailin,136,19,https://www.meitu131.com/nvshen/140
林美惠子,134,20,https://www.meitu131.com/nvshen/247
吴思晚,133,2,https://www.meitu131.com/nvshen/565
张欣欣,133,27,https://www.meitu131.com/nvshen/294
陶喜乐,133,13,https://www.meitu131.com/nvshen/188
熊吖BOBO,132,25,https://www.meitu131.com/nvshen/122
柚子178,132,3,https://www.meitu131.com/nvshen/494
贾丹,131,10,https://www.meitu131.com/nvshen/374
陆瓷,130,4,https://www.meitu131.com/nvshen/226
王昭璐,130,9,https://www.meitu131.com/nvshen/263
萌琪琪,129,28,https://www.meitu131.com/nvshen/103
唐婉儿Lucky,129,6,https://www.meitu131.com/nvshen/380
陈梵妮Fanny,129,6,https://www.meitu131.com/nvshen/309
tina_甜仔,125,10,https://www.meitu131.com/nvshen/553
人间荒糖,125,7,https://www.meitu131.com/nvshen/414
优米,124,1,https://www.meitu131.com/nvshen/557
方子萱,123,19,https://www.meitu131.com/nvshen/275
星萌,122,3,https://www.meitu131.com/nvshen/453
李夫人,121,4,https://www.meitu131.com/nvshen/530
闵妮Mily,121,1,https://www.meitu131.com/nvshen/269
Ellie艾栗栗,121,13,https://www.meitu131.com/nvshen/172
朴正允,120,7,https://www.meitu131.com/nvshen/15
允儿Claire,119,8,https://www.meitu131.com/nvshen/472
Jessica,119,10,https://www.meitu131.com/nvshen/434
刘艾琳,119,12,https://www.meitu131.com/nvshen/417
梦梵,118,8,https://www.meitu131.com/nvshen/303
白茹雪,117,10,https://www.meitu131.com/nvshen/241
婠婠么,117,9,https://www.meitu131.com/nvshen/328
媛媛酱belle,117,17,https://www.meitu131.com/nvshen/474
刘奕宁,116,14,https://www.meitu131.com/nvshen/131
孙梦瑶,115,31,https://www.meitu131.com/nvshen/284
美绪,115,3,https://www.meitu131.com/nvshen/424
黛诺欣,115,2,https://www.meitu131.com/nvshen/148
中田合美子,114,2,https://www.meitu131.com/nvshen/441
FoxYini孟狐狸,112,6,https://www.meitu131.com/nvshen/350
Hope Beel,111,0,https://www.meitu131.com/nvshen/43
周思乔,110,8,https://www.meitu131.com/nvshen/282
黄可christine,110,6,https://www.meitu131.com/nvshen/5
大阳,109,6,https://www.meitu131.com/nvshen/360
李宓儿,107,19,https://www.meitu131.com/nvshen/229
安妮斯朵拉,107,15,https://www.meitu131.com/nvshen/486
沈善熙,106,4,https://www.meitu131.com/nvshen/311
小语,106,6,https://www.meitu131.com/nvshen/506
Arude薇薇,106,12,https://www.meitu131.com/nvshen/433
杨安娜,105,6,https://www.meitu131.com/nvshen/427
岸明日香,105,0,https://www.meitu131.com/nvshen/27
肉肉,104,3,https://www.meitu131.com/nvshen/444
魏飞霞,103,23,https://www.meitu131.com/nvshen/109
水水er,102,8,https://www.meitu131.com/nvshen/454
纯小希,100,32,https://www.meitu131.com/nvshen/145
唐思琪,98,6,https://www.meitu131.com/nvshen/146
柴婉艺Averie,97,35,https://www.meitu131.com/nvshen/231
茯苓,96,8,https://www.meitu131.com/nvshen/451
李多多,96,11,https://www.meitu131.com/nvshen/448
薛琪琪sandy,96,10,https://www.meitu131.com/nvshen/312
文静儿,95,6,https://www.meitu131.com/nvshen/326
谭晓彤,95,4,https://www.meitu131.com/nvshen/31
乔依琳Joylin,95,6,https://www.meitu131.com/nvshen/379
王梓童,95,4,https://www.meitu131.com/nvshen/162
戴安娜,94,1,https://www.meitu131.com/nvshen/531
杨倩倩,90,1,https://www.meitu131.com/nvshen/563
吕婉柔Elin,89,3,https://www.meitu131.com/nvshen/205
月音瞳,88,34,https://www.meitu131.com/nvshen/138
波巧酱,88,5,https://www.meitu131.com/nvshen/574
安晴,88,2,https://www.meitu131.com/nvshen/541
小奶瓶呜呜,88,8,https://www.meitu131.com/nvshen/331
Evelyn艾莉,87,10,https://www.meitu131.com/nvshen/349
小夕Kitty,87,5,https://www.meitu131.com/nvshen/344
思淇Sukiii,87,17,https://www.meitu131.com/nvshen/352
李师师,86,4,https://www.meitu131.com/nvshen/512
江真真,86,0,https://www.meitu131.com/nvshen/572
Celine Farach,86,0,https://www.meitu131.com/nvshen/45
Anna苏拉,85,1,https://www.meitu131.com/nvshen/556
Jenny佳妮,85,6,https://www.meitu131.com/nvshen/387
SukkiQ可儿,84,25,https://www.meitu131.com/nvshen/366
文芮jeninfer,84,8,https://www.meitu131.com/nvshen/458
韩好甜,84,3,https://www.meitu131.com/nvshen/564
任莹樱,83,7,https://www.meitu131.com/nvshen/388
李晓雅,82,1,https://www.meitu131.com/nvshen/518
李承美,81,18,https://www.meitu131.com/nvshen/316
喵酱,80,2,https://www.meitu131.com/nvshen/430
肉晴MINI,80,1,https://www.meitu131.com/nvshen/457
杨依,80,3,https://www.meitu131.com/nvshen/449
宋七七,79,4,https://www.meitu131.com/nvshen/385
尤柔美,78,2,https://www.meitu131.com/nvshen/435
明日花桃桃,78,4,https://www.meitu131.com/nvshen/411
李秀彬,77,3,https://www.meitu131.com/nvshen/14
韩恩熙,77,17,https://www.meitu131.com/nvshen/11
猫猫,77,2,https://www.meitu131.com/nvshen/436
萌白酱,77,9,https://www.meitu131.com/nvshen/455
赵伊彤,77,7,https://www.meitu131.com/nvshen/351
解斯童,77,4,https://www.meitu131.com/nvshen/432
焦糖可可,76,2,https://www.meitu131.com/nvshen/498
爱丽莎Lisa,76,28,https://www.meitu131.com/nvshen/373
Luffy-菲菲,76,9,https://www.meitu131.com/nvshen/161
华村飞鸟,76,3,https://www.meitu131.com/nvshen/12
王慧慧,75,3,https://www.meitu131.com/nvshen/465
Sarah Snyder,74,0,https://www.meitu131.com/nvshen/38
张静燕,74,9,https://www.meitu131.com/nvshen/104
Helga Lovekaty,74,0,https://www.meitu131.com/nvshen/41
夏可馨,74,3,https://www.meitu131.com/nvshen/446
温心怡,73,7,https://www.meitu131.com/nvshen/353
奶油米,73,3,https://www.meitu131.com/nvshen/442
乔雪,73,9,https://www.meitu131.com/nvshen/509
曾水Raeka,73,3,https://www.meitu131.com/nvshen/367
白子嫣,73,11,https://www.meitu131.com/nvshen/270
Kitty星辰,73,20,https://www.meitu131.com/nvshen/181
林煊煊,73,4,https://www.meitu131.com/nvshen/456
萌奈子,73,3,https://www.meitu131.com/nvshen/339
苏西susie,72,2,https://www.meitu131.com/nvshen/491
蔡文钰Angle,71,9,https://www.meitu131.com/nvshen/377
赵芸,70,12,https://www.meitu131.com/nvshen/29
小雨,70,3,https://www.meitu131.com/nvshen/403
佟蔓,70,12,https://www.meitu131.com/nvshen/74
夏笑笑Summer,69,16,https://www.meitu131.com/nvshen/121
顾楚楚,69,2,https://www.meitu131.com/nvshen/570
鱼儿,68,1,https://www.meitu131.com/nvshen/515
Evon陈赞之,68,8,https://www.meitu131.com/nvshen/234
周欣琪,68,2,https://www.meitu131.com/nvshen/489
贾诗晗,68,5,https://www.meitu131.com/nvshen/533
罗云琦,67,5,https://www.meitu131.com/nvshen/30
美玲元,67,1,https://www.meitu131.com/nvshen/16
黄歆苑Chobits,67,26,https://www.meitu131.com/nvshen/242
MARA酱,67,15,https://www.meitu131.com/nvshen/273
伊丽莎有点白,66,1,https://www.meitu131.com/nvshen/483
于暖暖,65,2,https://www.meitu131.com/nvshen/517
悠悠酱,65,9,https://www.meitu131.com/nvshen/345
美幸baby,65,7,https://www.meitu131.com/nvshen/488
陈圆圆,64,4,https://www.meitu131.com/nvshen/338
小汐,64,1,https://www.meitu131.com/nvshen/395
Cheryl青树,63,33,https://www.meitu131.com/nvshen/54
Gia Marie Macool,63,0,https://www.meitu131.com/nvshen/39
羽仁鹿,63,1,https://www.meitu131.com/nvshen/562
李薇薇,62,6,https://www.meitu131.com/nvshen/480
蔡茵茵,62,15,https://www.meitu131.com/nvshen/190
可可,62,10,https://www.meitu131.com/nvshen/514
唐心,62,3,https://www.meitu131.com/nvshen/439
乔安,61,2,https://www.meitu131.com/nvshen/36
连欣,61,2,https://www.meitu131.com/nvshen/364
杨漫妮,61,11,https://www.meitu131.com/nvshen/158
王恬恬Shelly,61,2,https://www.meitu131.com/nvshen/471
李凯诗,61,17,https://www.meitu131.com/nvshen/183
平祐奈,60,0,https://www.meitu131.com/nvshen/28
清水爱理,60,0,https://www.meitu131.com/nvshen/26
何晨曦,60,6,https://www.meitu131.com/nvshen/71
小影,60,7,https://www.meitu131.com/nvshen/482
坏兔子Hu,60,1,https://www.meitu131.com/nvshen/547
崔灿,59,4,https://www.meitu131.com/nvshen/393
李妍静,59,7,https://www.meitu131.com/nvshen/17
Rainbow,57,4,https://www.meitu131.com/nvshen/479
蘇～蘇,57,2,https://www.meitu131.com/nvshen/548
猫宝,57,7,https://www.meitu131.com/nvshen/405
Summer宝宝,57,3,https://www.meitu131.com/nvshen/493
舌尖上的菊花,57,1,https://www.meitu131.com/nvshen/544
叶熏,56,1,https://www.meitu131.com/nvshen/508
颜瑜Yuki,56,2,https://www.meitu131.com/nvshen/538
宥利,56,8,https://www.meitu131.com/nvshen/340
周熙妍,56,9,https://www.meitu131.com/nvshen/272
赵馨悦,55,4,https://www.meitu131.com/nvshen/75
程慧娴Phoebe,55,8,https://www.meitu131.com/nvshen/413
陈妍君Mavis,55,2,https://www.meitu131.com/nvshen/487
芮晓颖,54,1,https://www.meitu131.com/nvshen/526
Cici,54,5,https://www.meitu131.com/nvshen/504
涟漪sara,54,5,https://www.meitu131.com/nvshen/484
奥莉,54,7,https://www.meitu131.com/nvshen/536
陈大榕,54,2,https://www.meitu131.com/nvshen/421
延智恩,54,8,https://www.meitu131.com/nvshen/21
Sugar梁莹,53,11,https://www.meitu131.com/nvshen/359
慕羽茜,52,6,https://www.meitu131.com/nvshen/87
樱花EISA,52,5,https://www.meitu131.com/nvshen/503
朱赢Molly,52,6,https://www.meitu131.com/nvshen/370
叶佳颐,52,15,https://www.meitu131.com/nvshen/384
然熙,52,2,https://www.meitu131.com/nvshen/490
林芮希,52,2,https://www.meitu131.com/nvshen/315
于大小姐,52,22,https://www.meitu131.com/nvshen/55
美昕Yumi,52,6,https://www.meitu131.com/nvshen/136
Julianne Kissinger,50,0,https://www.meitu131.com/nvshen/40
程彤颜,50,9,https://www.meitu131.com/nvshen/130
艾尔莎elsa,50,1,https://www.meitu131.com/nvshen/560
如歌fairy,50,17,https://www.meitu131.com/nvshen/300
小九Vin,50,7,https://www.meitu131.com/nvshen/112
欧阳美萱MX,50,4,https://www.meitu131.com/nvshen/478
王乔恩Abby,49,10,https://www.meitu131.com/nvshen/375
苹果apple,49,1,https://www.meitu131.com/nvshen/402
羽住,48,9,https://www.meitu131.com/nvshen/283
小波多,48,12,https://www.meitu131.com/nvshen/323
陈雅漫,48,13,https://www.meitu131.com/nvshen/70
SISY思,48,22,https://www.meitu131.com/nvshen/81
李雪婷Anna,47,11,https://www.meitu131.com/nvshen/86
Riri617,46,3,https://www.meitu131.com/nvshen/501
赵梦洁,46,3,https://www.meitu131.com/nvshen/132
莲漪lenne,46,2,https://www.meitu131.com/nvshen/450
陈嘉嘉,46,15,https://www.meitu131.com/nvshen/365
叶梦轩,46,2,https://www.meitu131.com/nvshen/406
临恩惠,45,1,https://www.meitu131.com/nvshen/342
安琪拉,45,1,https://www.meitu131.com/nvshen/543
妍皙,45,1,https://www.meitu131.com/nvshen/528
